lvl	Key	Value
>>>	Description	"Easy to say," she remarks eventually, "but that doesn't make it bad advice." She stubs her cigarette out on your table. "No, you're right. This isn't the first home we lost, and it won't be the last. If I wanted to settle down, I'd still be tincturing the hive in Parabola. We all would." She gives you her toothiest grin. "All right. I have lives to ruin. Perhaps I'll see you again. Don't drown."
>>>	Teaser	"Easy to say," she remarks eventually, "but that doesn't make it bad advice...
>>>	Name	A thoughtful pause
>>	Name	No sympathy for the deviless
>>	Description	Do you have feelings for her? Or is this a strategy on your part?
>>>	Description	"That's very good," she wheezes, mopping her streaming eyes. "Oh, I thought I would never laugh again." She pats your arm with a taloned hand. "This has put a spring in my step, honestly. Here." She hands you a box of Ophidian Candies, purified from serpent venom. "I was going to eat the whole box to cheer myself up, but perhaps you can find a use for them now. Bon voyage!" She is still giggling as she leaves.
>>>	Teaser	"That's very good," she wheezes, mopping her streaming eyes...
>>>	Name	Incredulous laughter
>>	Name	A marriage proposal for the deviless
>>	Description	If that's what she wants
>>>	Description	She rises from her seat in a single fluid motion, nostrils wide, eyes glaring. For a moment you think she's going to slap your face. "And you people call us cruel," she hisses. She slams the door on her way out.\r\n\r\nDevils, eh.\r\n\r\nLater that same afternoon, you receive a package with the seal of the Brass Embassy. It carries an unsigned note in a hand you don't recognise, which reads only: "Top marks." The package contains a double-bladed brass paper-knife...
>>>	Teaser	She rises from her seat in a single fluid motion, nostrils wide, eyes glaring...
>>>	Name	Outrage
>>	Name	Offer to take her back to Palmerston
>	Name	The Wistful Deviless comes calling
>	Description	The zee looks more inviting by the day. How could you have thought it hostile? It is invigorating; fruitful. You scratch at your arm. Your skin is always itching, up here in the dry. [This card will continue to appear until you bury your father's bones or give in to temptation.]
>	Teaser	The zee looks more inviting by the day...
>>	Description	Your father came from the sea. You know now that you could take his place there. [This will end the game in a victory, of sorts.]
>>>>	MoveMessage	An ending approaches...
>>>>	Name	Turn into a zee-monster
>>	Name	Leave your ship forever
>	Name	Scale and Substance
>	Description	Sullen lights glow green at the jetty's edge. Behind the port buildings, the island is knee-deep in ash. There are ruins here and there, of houses destroyed by fire. Far above, the mountain's top flickers red: just for an instant.
>	Teaser	Sullen lights glow green at the jetty's edge...
>>	Description	Tangles of thorned scrub climb the rocky slopes of the volcano. 
>>	Name	Explore the island
>>	Description	There was a revolution in Hell: and the aristocracy of devils fled here. Here, they plot in exile.
>>>	Description	"They don't do us any harm. They stay up there, and we stay down here. If Hell's fighting itself, that's good for us all, isn't it?"
>>>	Teaser	"They don't do us any harm...
>>>	Name	A shrug and a curse
>>	Name	Chat to the port-folk about the Brimstone Convention
>>	Description	Tangles of thorned scrub climb the rocky slopes of the volcano. 
>>	Name	Explore the island
>>	Description	Tangles of thorned scrub climb the rocky slopes of the volcano. 
>>>	Description	The zee opens out beneath a high cliff -
>>>	Teaser	The zee opens out beneath a high cliff -
>>>	Name	A vista
>>	Name	Explore the island
>>	Description	Tangles of thorned scrub climb the rocky slopes of the volcano. 
>>>	Description	"Excuse me - excuse me - juzzt a moment of your time - "
>>>	Teaser	"Excuse me - excuse me - juzzt a moment of your time - "
>>>	Name	A shape hurries up the path to you
>>	Name	Explore the island
>>	Description	A hooded figure with a lantern waits at the far end of the quay.
>>>	Description	You give the hooded shape a sign of recognition. It hisses the reply you expected. You hand over the crate, and receive a chitty marked with thief-sign... [You'll receive the promised remuneration in London.]
>>>	Teaser	You give the hooded shape a sign of recognition...
>>>	Name	A hurried exchange
>>	Name	Deliver your smuggled souls
>>	Description	Tangles of thorned scrub climb the rocky slopes of the volcano. There are ruins here and there, of houses destroyed by fire.
>>>	Description	Fresh water! A welcome sound - 
>>>	Teaser	Fresh water! - 
>>>	Name	Running water
>>	Name	Explore the island
>>	Description	You have a rendezvous in the ruined granary up on the headland, where the last generation of farmers died in the volcano's flames.
>>>	Description	A cowled and buzzing shape clasps your elbow. It whispers in your ear. Its breath is lava and old brass, and a queasy vibration shudders through you where its gloved appendage has taken hold. You have what you came for. Back aboard ship, quickly. Your vision blurs. Perhaps you are unwell.
>>>	Teaser	A cowled and buzzing shape clasps your elbow...
>>>	Name	"Hello, hello. I have zomething for you -"
>>	Name	Find your contact
>>	Description	You have a rendezvous in the ruined granary up on the headland, where the last generation of farmers died in the volcano's flames.
>>>	Description	A cowled and buzzing shape clasps your elbow. It whispers in your ear. Its breath is lava and old brass, and a queasy vibration shudders through you where its gloved appendage has taken hold. You have what you came for, and something more - nasty, barbed little details about sin and time.
>>>	Teaser	A cowled and buzzing shape clasps your elbow...
>>>	Name	"Hello, my zoulless friend."
>>	Name	Find your contact
>>	Description	Surely it'll flourish here?
>>>	Description	The blemmigan bounces happily up the pumice slopes, warbling as it goes. That warbling is answered as it climbs higher. There are already blemmigans here, somewhere...
>>>	Teaser	The blemmigan bounces happily up the pumice slopes, warbling as it goes...
>>>	Name	Mushroom songs
>>	Name	Put a blemmigan ashore
>>	Description	A hooded figure with a lantern waits at the far end of the quay.
>>>	Description	You give the hooded shape a sign of recognition. It hisses the reply you expected. You hand over the crate, and receive a chitty marked with thief-sign... [You'll receive the promised remuneration in London.]
>>>	Teaser	You give the hooded shape a sign of recognition...
>>>	Name	A hurried exchange
>>	Name	Deliver your smuggled souls
>>	Description	"Ah, yes, you will do nicely. I need a ship, dear heart, and I rather flatter myself that <i>you</i> need <i>me</i>." [The Merciless Modiste is a First Officer who increases Iron, Veils and Hearts.]
>>>	Description	The Modiste neither packs lightly nor suffers fools gladly. "One scratch! One solitary scratch on my steamer trunks from you snivelling little homunculi and I take the whole blessed lot of you apart at the seams!"\r\n\r\nShe turns back, her lips curling into a smile. "As I was saying, Captain, you really <i>must</i> try to take the waters here before our cruise. Most invigorating, brimstone." [Appoint your new Officer by dragging her from the Officers tab to her slot at the top of the screen. Do this in port, not at sea, or you may unsettle your crew.]
>>>	Teaser	The Modiste neither packs lightly nor suffers fools gladly...
>>>	Name	Welcome aboard!
>>	Name	Engage an Officer: the Merciless Modiste
>>	Description	A middle-aged woman in a veiled hat is staring at you, waiting for you to notice and listen to her.
>>>	Description	She begins commandingly, as though you had met at a Salon in London, as though there were no burning mountain at her back and as though you were socially just a little her inferior. \r\n\r\n"Thank goodness, someone who might help me!" she says. "I have been searching everywhere -- my brother is troubled, you see, troubled by some past difficulties. I came to Mount Palmerston because I thought possibly they had his... well, his Soul!" She drops her voice to a whisper on the last words. "But it isn't here. And now there's something else I must try, and you have a Zubmarine!" 
>>>	Teaser	She begins commandingly, as though you had met at a Salon in London, as though there were no burning mountain at her back and as though you were socially just a little her inferior...
>>>	Name	The Imperious Sister's Tale
>>	Name	Take note of a veiled woman
>>>	Description	One wall of a barn still stands. Someone has gouged words into it, in one of the lesser alphabets of Hell - an account of a dream of the Usurper Sun, of its gear-teeth sunk deep into the roots of time, of its servants in robes of gold and amber, of its beauty and its lies.
>>>	Teaser	One wall of a barn still stands...
>>>	Name	A diary of dreams
>>	Description	Perhaps the villagers left valuables behind. You could pick over their remains to see what you might find. (You ghoul.)
>>>	Description	How many of them died down here? You could bury them in the ash, but they're so choked and jumbled, you might as well leave them here below. The whole island is the unholiest imaginable ground, anyway. At least you have souvenirs. Three grinning skulls and a carven crooked-cross.
>>>	Teaser	How many of them died down here?
>>>	Name	A cellarful of bones
>>>	Description	The creases of your palms are grey with ash. Your crew coughs incessantly. You have found nothing but ruined fields and empty shelves.
>>>	Teaser	The creases of your palms are grey with ash...
>>>	Name	Emptiness
>>	Name	Dig among the ruins
>>>	Description	In a dry well choked with ash behind a shattered farmhouse, you find two casks of zzoup. Emergency supplies, or hidden treasure? No one will ever return for them.
